97.04 71.89 45.25 25.52 34.15 43.86 64.14 88.48
0.00 0.00 0.76 0.34 0.00 0.66 0.42 0.00
0.00 2.70 1.14 0.34 0.74 1.32 0.84 0.00
0.74 5.41 4.56 6.55 6.88 8.11 7.59 2.97
2.22 4.32 13.69 17.59 9.83 12.06 4.64 1.92
0.00 2.70 9.51 14.48 12.04 6.14 2.32 0.87
0.00 3.78 7.60 9.66 12.29 5.04 5.06 2.27
0.00 3.78 6.46 10.00 7.37 5.92 3.16 1.75
0.00 0.54 1.14 4.14 2.95 3.95 3.80 0.35
0.00 1.62 1.14 2.07 2.21 4.82 2.32 0.17
0.00 0.54 0.76 1.03 2.70 1.10 1.48 0.52
0.00 0.54 0.76 2.07 1.47 2.41 0.63 0.17
0.00 0.00 1.14 2.41 2.46 1.54 1.48 0.35
0.00 2.16 4.18 1.38 2.95 2.19 0.84 0.17
0.00 0.00 0.38 1.38 1.72 0.44 0.63 0.00
0.00 0.00 1.52 0.69 0.25 0.44 0.42 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.21 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.34 0.00 0.00 0.00 0.00
